Id,Label,timeset,modularity_class,Availability_Status,Research_Notes,Contact_Required,Strategic_Priority
R1905008,Hydranov P,,14,Unknown,Requires verification with Vantage Speciality,Yes,Medium
R1905055,Ceramidone,,14,Unknown,Requires verification with Vantage Speciality,Yes,Medium
R1905000,Allistin P5,,15,Unknown,Requires verification with Exsymol,Yes,Low
R1905020,LPD's Asiatic Centella,,16,Unknown,Requires verification with Materia Medica,Yes,Medium
R1905018,Glyco Repair,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905027,Deglysome,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905035,Sebonormine OP,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905041,Unflamagyl,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905046,Dermapur HP OP,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905048,Vitagenyl,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905049,Detoxyl OP,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905050,Celldetox,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905051,Mitokinyl,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905052,Fermiskin GR,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905053,Retilactyl D,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905054,Raffermine 2,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905056,Eternaline,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905057,Oxygeskin,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905058,Aquaphyline EL,,17,Available,Silab ingredient via Meganede CC,Yes,High
R1905009,Caffeine,,18,Unknown,Requires verification with Merck,Yes,Medium
R1905010,Malic Acid,,18,Unknown,Requires verification with Merck,Yes,Medium
R1905032,Ronacare AP,,18,Unknown,Requires verification with Merck,Yes,Medium
R1905044,Acnacidol BG,,19,Unknown,Requires verification with Millchem,Yes,Low
R1905001,Rayolys D,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1905037,ARP 100,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1905045,Meadowsweet Medulat 220016,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913000,Ivy Cosmelene Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913001,St John's Wort HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913002,Soapwort HG (3009) Extr,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913003,Horsetail Cosmelene Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913006,Geranium HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913007,Lavender HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913008,Rosemary HG Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913011,Phytelene EGX 247 (BG) 620012,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913012,Phytelene EGX 773 (BG) 620032,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1913013,Passion Flower Cosmelene,,20,Available,Greentech botanical via Natchem CC,Yes,High
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Requires verification with Orchem,Yes,Medium
R1902999,ColaMate RM / replacement Rewoderm S1333 KM 5,,21,Unknown,Requires verification with Orchem,Yes,Medium
R1901004,Waglinol 3/929,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium
R1905005,AA2G,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium
R1905006,Hydromanil,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium
R1905007,Acquacell,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium
R1905031,Ten's Up,,22,Unknown,Requires verification with Savannah Fine Chem,Yes,Medium
R1905028,Celligent,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium
R1905040,Defensil Plus,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium
R1905013,Genencare OSMS BA,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium
R1905038,ProRenew Complex CLR,,23,Unknown,Requires verification with IMCD South Africa,Yes,Medium
